section_id,course_id,integration_id,name,status,start_date,end_date
11196.20262,SURG.815.202615.37B,,SURG-815-37B,active,,
11240.20262,SURG.810.202615.37T,,SURG-810-37T,active,,
10560.20262,EMED.800.202615.32R,,EMED-800-32R,active,,
11195.20262,SURG.815.202615.37D,,SURG-815-37D,active,,
11194.20262,SURG.815.202615.37E,,SURG-815-37E,active,,
11193.20262,SURG.815.202615.37F,,SURG-815-37F,active,,
11192.20262,SURG.815.202615.37R,,SURG-815-37R,active,,
11191.20262,SURG.815.202615.37T,,SURG-815-37T,active,,
11238.20262,SURG.815.202615.31B,,SURG-815-31B,active,,
11235.20262,SURG.815.202615.31D,,SURG-815-31D,active,,
11231.20262,SURG.815.202615.31R,,SURG-815-31R,active,,
11229.20262,SURG.815.202615.31T,,SURG-815-31T,active,,
11225.20262,SURG.815.202615.32D,,SURG-815-32D,active,,
11227.20262,SURG.815.202615.32B,,SURG-815-32B,active,,
11224.20262,SURG.815.202615.32E,,SURG-815-32E,active,,
11223.20262,SURG.815.202615.32F,,SURG-815-32F,active,,
11222.20262,SURG.815.202615.32R,,SURG-815-32R,active,,
11221.20262,SURG.815.202615.32T,,SURG-815-32T,active,,
11220.20262,SURG.815.202615.33B,,SURG-815-33B,active,,
11219.20262,SURG.815.202615.33D,,SURG-815-33D,active,,
11218.20262,SURG.815.202615.33E,,SURG-815-33E,active,,
11216.20262,SURG.815.202615.33F,,SURG-815-33F,active,,
11215.20262,SURG.815.202615.33R,,SURG-815-33R,active,,
11217.20262,SURG.815.202615.33T,,SURG-815-33T,active,,
11214.20262,SURG.815.202615.34B,,SURG-815-34B,active,,
11213.20262,SURG.815.202615.34D,,SURG-815-34D,active,,
12934.20262,MFCM.808.202615.36D,,MFCM-808-36D,active,,
11212.20262,SURG.815.202615.34E,,SURG-815-34E,active,,
11211.20262,SURG.815.202615.34F,,SURG-815-34F,active,,
11210.20262,SURG.815.202615.34R,,SURG-815-34R,active,,
11209.20262,SURG.815.202615.34T,,SURG-815-34T,active,,
10997.20262,SURG.848.202615.34F,,SURG-848-34F,active,,
11208.20262,SURG.815.202615.35B,,SURG-815-35B,active,,
11207.20262,SURG.815.202615.35D,,SURG-815-35D,active,,
11206.20262,SURG.815.202615.35E,,SURG-815-35E,active,,
11205.20262,SURG.815.202615.35F,,SURG-815-35F,active,,
11204.20262,SURG.815.202615.35R,,SURG-815-35R,active,,
11203.20262,SURG.815.202615.35T,,SURG-815-35T,active,,
11202.20262,SURG.815.202615.36B,,SURG-815-36B,active,,
11201.20262,SURG.815.202615.36D,,SURG-815-36D,active,,
11200.20262,SURG.815.202615.36E,,SURG-815-36E,active,,
11199.20262,SURG.815.202615.36F,,SURG-815-36F,active,,
11198.20262,SURG.815.202615.36R,,SURG-815-36R,active,,
11197.20262,SURG.815.202615.36T,,SURG-815-36T,active,,
11113.20262,SURG.821.202615.31E,,SURG-821-31E,active,,
11190.20262,SURG.816.202615.31D,,SURG-816-31D,active,,
11189.20262,SURG.816.202615.31E,,SURG-816-31E,active,,
11167.20262,SURG.816.202615.36T,,SURG-816-36T,active,,
11188.20262,SURG.816.202615.31R,,SURG-816-31R,active,,
11187.20262,SURG.816.202615.31T,,SURG-816-31T,active,,
11186.20262,SURG.816.202615.32D,,SURG-816-32D,active,,
11182.20262,SURG.816.202615.33D,,SURG-816-33D,active,,
11184.20262,SURG.816.202615.32R,,SURG-816-32R,active,,
11183.20262,SURG.816.202615.32T,,SURG-816-32T,active,,
11177.20262,SURG.816.202615.34E,,SURG-816-34E,active,,
10915.20262,EMED.809.202615.32B,,EMED-809-32B,active,,
11181.20262,SURG.816.202615.33E,,SURG-816-33E,active,,
11180.20262,SURG.816.202615.33R,,SURG-816-33R,active,,
11179.20262,SURG.816.202615.33T,,SURG-816-33T,active,,
11178.20262,SURG.816.202615.34D,,SURG-816-34D,active,,
11176.20262,SURG.816.202615.34R,,SURG-816-34R,active,,
11175.20262,SURG.816.202615.34T,,SURG-816-34T,active,,
11174.20262,SURG.816.202615.35D,,SURG-816-35D,active,,
11173.20262,SURG.816.202615.35E,,SURG-816-35E,active,,
11172.20262,SURG.816.202615.35R,,SURG-816-35R,active,,
11170.20262,SURG.816.202615.36D,,SURG-816-36D,active,,
11169.20262,SURG.816.202615.36E,,SURG-816-36E,active,,
11168.20262,SURG.816.202615.36R,,SURG-816-36R,active,,
11166.20262,SURG.816.202615.37D,,SURG-816-37D,active,,
11165.20262,SURG.816.202615.37E,,SURG-816-37E,active,,
11164.20262,SURG.816.202615.37R,,SURG-816-37R,active,,
11163.20262,SURG.816.202615.37T,,SURG-816-37T,active,,
12197.20262,MRAD.801.202615.31H,,MRAD-801-31H,active,,
11112.20262,SURG.821.202615.32E,,SURG-821-32E,active,,
11162.20262,SURG.817.202615.31D,,SURG-817-31D,active,,
11149.20262,SURG.817.202615.37T,,SURG-817-37T,active,,
11160.20262,SURG.817.202615.32D,,SURG-817-32D,active,,
11111.20262,SURG.821.202615.33E,,SURG-821-33E,active,,
11159.20262,SURG.817.202615.32T,,SURG-817-32T,active,,
11158.20262,SURG.817.202615.33D,,SURG-817-33D,active,,
11157.20262,SURG.817.202615.33T,,SURG-817-33T,active,,
11156.20262,SURG.817.202615.34D,,SURG-817-34D,active,,
11155.20262,SURG.817.202615.34T,,SURG-817-34T,active,,
11154.20262,SURG.817.202615.35D,,SURG-817-35D,active,,
11153.20262,SURG.817.202615.35T,,SURG-817-35T,active,,
11152.20262,SURG.817.202615.36D,,SURG-817-36D,active,,
11314.20262,IMED.805.202615.37T,,IMED-805-37T,active,,
11151.20262,SURG.817.202615.36T,,SURG-817-36T,active,,
11150.20262,SURG.817.202615.37D,,SURG-817-37D,active,,
11109.20262,SURG.821.202615.35E,,SURG-821-35E,active,,
11134.20262,SURG.818.202615.33T,,SURG-818-33T,active,,
11108.20262,SURG.821.202615.36E,,SURG-821-36E,active,,
11146.20262,SURG.818.202615.31E,,SURG-818-31E,active,,
11148.20262,SURG.818.202615.31B,,SURG-818-31B,active,,
11107.20262,SURG.821.202615.37E,,SURG-821-37E,active,,
11147.20262,SURG.818.202615.31D,,SURG-818-31D,active,,
11145.20262,SURG.818.202615.31R,,SURG-818-31R,active,,
11144.20262,SURG.818.202615.31T,,SURG-818-31T,active,,
11143.20262,SURG.818.202615.32B,,SURG-818-32B,active,,
11142.20262,SURG.818.202615.32D,,SURG-818-32D,active,,
11141.20262,SURG.818.202615.32E,,SURG-818-32E,active,,
11140.20262,SURG.818.202615.32R,,SURG-818-32R,active,,
11139.20262,SURG.818.202615.32T,,SURG-818-32T,active,,
11137.20262,SURG.818.202615.33D,,SURG-818-33D,active,,
11138.20262,SURG.818.202615.33B,,SURG-818-33B,active,,
11136.20262,SURG.818.202615.33E,,SURG-818-33E,active,,
11135.20262,SURG.818.202615.33R,,SURG-818-33R,active,,
11133.20262,SURG.818.202615.34B,,SURG-818-34B,active,,
11132.20262,SURG.818.202615.34D,,SURG-818-34D,active,,
11131.20262,SURG.818.202615.34E,,SURG-818-34E,active,,
11130.20262,SURG.818.202615.34R,,SURG-818-34R,active,,
11009.20262,SURG.848.202615.31T,,SURG-848-31T,active,,
11129.20262,SURG.818.202615.34T,,SURG-818-34T,active,,
11128.20262,SURG.818.202615.35B,,SURG-818-35B,active,,
11126.20262,SURG.818.202615.35E,,SURG-818-35E,active,,
11124.20262,SURG.818.202615.35T,,SURG-818-35T,active,,
